day,month,year,cloud_cover,global_radiation,max_temp,mean_temp,min_temp,pressure
13,2,1980.0,8.0,24.0,11.6,8.1,4.2,100620.0
14,2,1980.0,8.0,25.0,11.7,7.4,3.3,102340.0
15,2,1980.0,6.0,42.0,2.8,0.8,-1.7,103090.0
16,2,1980.0,8.0,30.0,4.1,-3.2,-3.6,102150.0
17,2,1980.0,3.0,151.0,12.6,5.0,1.9,100640.0
18,2,1980.0,6.0,43.0,5.0,2.0,-0.6,102360.0
19,2,1980.0,6.0,50.0,11.0,4.8,-1.3,103040.0
20,2,1980.0,3.0,63.0,6.4,3.1,1.6,102070.0
21,2,1980.0,4.0,66.0,6.6,4.6,0.3,100900.0
22,2,1980.0,8.0,29.0,8.8,8.4,8.7,101300.0
23,2,1980.0,4.0,70.0,7.0,4.4,0.3,98480.0
24,2,1980.0,6.0,54.0,1.8,0.7,-2.6,101870.0
25,2,1980.0,8.0,24.0,9.8,6.4,2.4,100930.0
26,2,1980.0,7.0,21.0,11.6,9.2,6.7,103310.0
27,2,1980.0,6.0,75.0,5.0,3.3,0.0,102140.0
28,2,1980.0,7.0,28.0,9.5,2.5,-2.3,102510.0
29,2,1980.0,5.0,96.0,10.0,8.0,6.2,100650.0
1,3,1980.0,8.0,40.0,10.0,8.8,7.0,102950.0
2,3,1980.0,6.0,125.0,8.6,5.4,0.9,102510.0
3,3,1980.0,3.0,136.0,3.2,2.2,-1.0,101450.0
4,3,1980.0,7.0,58.0,9.9,4.0,1.6,103630.0
5,3,1980.0,0.0,134.0,7.5,-2.6,-5.2,102200.0
6,3,1980.0,4.0,65.0,10.0,5.0,2.7,102080.0
7,3,1980.0,6.0,83.0,12.7,8.6,4.7,102040.0
8,3,1980.0,7.0,54.0,8.2,7.2,5.4,100580.0
9,3,1980.0,7.0,66.0,2.4,3.6,1.4,101630.0
10,3,1980.0,7.0,98.0,15.5,11.1,9.4,99470.0
11,3,1980.0,4.0,171.0,13.5,12.2,9.7,100940.0
12,3,1980.0,7.0,44.0,16.1,10.2,8.4,101040.0
13,3,1980.0,6.0,44.0,5.8,4.9,-1.1,101830.0
14,3,1980.0,7.0,35.0,16.5,11.8,5.3,102920.0
15,3,1980.0,8.0,35.0,10.8,3.9,-0.7,101350.0
16,3,1980.0,8.0,41.0,13.0,10.2,6.9,101280.0
17,3,1980.0,7.0,137.0,7.3,7.8,4.7,100720.0
18,3,1980.0,6.0,73.0,5.7,5.9,1.4,102720.0
19,3,1980.0,8.0,69.0,15.1,9.9,6.2,102780.0
20,3,1980.0,7.0,116.0,13.4,9.4,5.4,100840.0
21,3,1980.0,6.0,84.0,10.1,8.4,5.0,99540.0
22,3,1980.0,5.0,134.0,17.7,10.6,6.6,101770.0
23,3,1980.0,6.0,,4.6,3.7,1.6,99560.0
24,3,1980.0,7.0,54.0,7.8,1.2,-1.7,102620.0
25,3,1980.0,7.0,125.0,12.3,7.2,3.3,102770.0
26,3,1980.0,7.0,41.0,8.1,3.2,0.8,102670.0
27,3,1980.0,7.0,91.0,8.5,5.7,1.1,100960.0
28,3,1980.0,2.0,254.0,21.6,12.2,5.6,102770.0
29,3,1980.0,7.0,63.0,10.5,4.0,1.5,101930.0
30,3,1980.0,8.0,46.0,11.7,6.8,3.3,101830.0
31,3,1980.0,8.0,38.0,11.8,6.4,2.7,99480.0
1,4,1980.0,8.0,51.0,12.1,8.8,5.5,101940.0
2,4,1980.0,7.0,151.0,17.9,13.8,8.7,100680.0
3,4,1980.0,7.0,105.0,16.2,10.6,6.7,101310.0
4,4,1980.0,6.0,124.0,14.2,7.8,5.9,102660.0
5,4,1980.0,5.0,173.0,17.3,9.4,4.0,102270.0
6,4,1980.0,8.0,46.0,11.6,7.4,2.1,101280.0
7,4,1980.0,7.0,120.0,16.7,10.2,5.8,102510.0
8,4,1980.0,5.0,199.0,15.5,13.8,8.2,102230.0
9,4,1980.0,6.0,124.0,12.0,9.6,6.3,100860.0
10,4,1980.0,7.0,122.0,15.1,13.0,9.2,102310.0
11,4,1980.0,3.0,190.0,14.1,10.2,3.6,102790.0
12,4,1980.0,5.0,211.0,19.4,15.1,9.5,103020.0
13,4,1980.0,5.0,225.0,18.6,14.5,9.8,101080.0
14,4,1980.0,5.0,173.0,16.3,10.4,7.2,100950.0
15,4,1980.0,5.0,125.0,9.0,4.8,1.7,100520.0
16,4,1980.0,7.0,119.0,17.2,12.2,9.0,100230.0
17,4,1980.0,6.0,140.0,13.0,5.0,-0.8,102420.0
18,4,1980.0,6.0,120.0,12.4,8.0,5.4,101330.0
19,4,1980.0,5.0,145.0,13.1,6.9,-3.2,102380.0
20,4,1980.0,5.0,259.0,13.9,6.9,0.7,100810.0
21,4,1980.0,2.0,306.0,11.6,8.6,3.5,102850.0
22,4,1980.0,3.0,220.0,17.7,12.8,7.1,102560.0
23,4,1980.0,7.0,180.0,16.5,12.6,7.7,101540.0
24,4,1980.0,1.0,285.0,17.7,10.4,5.8,101450.0
25,4,1980.0,7.0,161.0,14.5,10.4,6.9,99890.0
26,4,1980.0,6.0,192.0,12.6,8.4,5.4,100590.0
27,4,1980.0,5.0,173.0,14.9,9.6,5.3,102680.0
28,4,1980.0,5.0,207.0,14.2,11.4,8.7,101640.0
29,4,1980.0,5.0,221.0,14.6,10.4,6.0,100770.0
30,4,1980.0,5.0,219.0,16.6,7.6,0.3,102080.0
1,5,1980.0,6.0,212.0,15.9,10.8,7.7,101390.0
2,5,1980.0,5.0,251.0,18.2,14.4,9.0,102920.0
3,5,1980.0,6.0,202.0,21.0,14.0,9.4,100550.0
4,5,1980.0,6.0,49.0,12.7,7.4,3.4,102310.0
5,5,1980.0,,141.0,16.6,12.4,9.3,101720.0
6,5,1980.0,5.0,208.0,26.1,18.2,12.4,102230.0
7,5,1980.0,6.0,208.0,16.0,14.2,9.2,101720.0
8,5,1980.0,6.0,234.0,19.8,13.2,10.1,101470.0
9,5,1980.0,5.0,308.0,20.7,15.5,10.5,101270.0
10,5,1980.0,7.0,80.0,9.1,9.4,7.6,100900.0
11,5,1980.0,6.0,28.0,10.4,9.9,8.7,100860.0
12,5,1980.0,7.0,89.0,11.6,8.6,7.5,103040.0
13,5,1980.0,7.0,89.0,13.8,11.1,7.9,100220.0
14,5,1980.0,1.0,310.0,18.6,13.4,8.0,102810.0
15,5,1980.0,2.0,279.0,12.3,8.4,4.3,101490.0
16,5,1980.0,5.0,249.0,14.0,9.2,5.5,102290.0
17,5,1980.0,6.0,213.0,18.4,11.4,6.2,101670.0
18,5,1980.0,6.0,210.0,16.0,14.8,10.0,102370.0
19,5,1980.0,3.0,280.0,25.1,16.0,9.0,102320.0
20,5,1980.0,3.0,215.0,22.1,13.7,8.9,101730.0
21,5,1980.0,6.0,130.0,16.2,12.6,10.4,101740.0
22,5,1980.0,6.0,260.0,15.5,11.2,7.8,100820.0
23,5,1980.0,7.0,140.0,17.8,11.0,6.4,101900.0
24,5,1980.0,5.0,208.0,13.8,11.1,6.6,102390.0
25,5,1980.0,4.0,236.0,17.3,7.4,2.0,102250.0
26,5,1980.0,4.0,263.0,17.1,13.1,9.4,101360.0
27,5,1980.0,4.0,274.0,24.8,17.8,12.3,101910.0
28,5,1980.0,6.0,182.0,16.5,13.8,9.7,101550.0
29,5,1980.0,2.0,285.0,22.4,13.0,6.3,102780.0
30,5,1980.0,3.0,306.0,21.8,19.2,14.8,102990.0
31,5,1980.0,7.0,81.0,13.5,11.0,9.9,101540.0
1,6,1980.0,5.0,223.0,20.3,16.4,11.0,101300.0
2,6,1980.0,5.0,258.0,19.1,17.8,13.0,100940.0
3,6,1980.0,6.0,254.0,18.7,15.8,11.0,101090.0
4,6,1980.0,8.0,100.0,17.4,12.0,8.8,100800.0
5,6,1980.0,5.0,259.0,20.2,16.5,10.9,101780.0
6,6,1980.0,5.0,13.0,22.1,16.4,10.0,101900.0
7,6,1980.0,6.0,181.0,16.0,13.0,8.2,101550.0
8,6,1980.0,5.0,259.0,25.8,17.2,12.2,101710.0
9,6,1980.0,1.0,299.0,26.9,18.7,13.2,101300.0
10,6,1980.0,7.0,103.0,14.9,11.2,7.5,101370.0
11,6,1980.0,3.0,309.0,25.0,16.6,7.5,102090.0
12,6,1980.0,6.0,198.0,17.9,12.2,9.4,100980.0
13,6,1980.0,6.0,260.0,27.4,21.0,15.0,101840.0
14,6,1980.0,7.0,151.0,20.5,16.4,13.2,101560.0
15,6,1980.0,5.0,238.0,23.1,18.8,13.7,101470.0
16,6,1980.0,7.0,113.0,18.9,18.5,16.4,100780.0
17,6,1980.0,3.0,249.0,23.5,17.2,13.2,102360.0
18,6,1980.0,5.0,259.0,19.6,13.6,9.5,102090.0
19,6,1980.0,5.0,298.0,23.6,20.6,15.8,101550.0
20,6,1980.0,7.0,140.0,18.2,14.2,10.6,101570.0
21,6,1980.0,6.0,244.0,29.9,16.9,12.4,100940.0
22,6,1980.0,3.0,288.0,22.7,15.4,7.4,102030.0
23,6,1980.0,6.0,202.0,24.0,19.2,15.8,101670.0
24,6,1980.0,6.0,222.0,21.4,18.2,14.4,101790.0
25,6,1980.0,6.0,172.0,18.8,17.8,12.7,101280.0
26,6,1980.0,1.0,280.0,28.7,17.6,10.3,102640.0
27,6,1980.0,4.0,282.0,21.5,17.4,11.4,101790.0
28,6,1980.0,5.0,294.0,20.6,13.9,7.4,100620.0
29,6,1980.0,6.0,259.0,20.3,16.4,12.0,101560.0
30,6,1980.0,5.0,,25.0,19.8,14.0,101860.0
1,7,1980.0,4.0,224.0,23.8,15.8,11.1,101860.0
2,7,1980.0,6.0,236.0,25.6,20.8,15.6,101070.0
3,7,1980.0,5.0,255.0,22.4,15.4,10.0,102370.0
4,7,1980.0,2.0,329.0,31.1,23.8,17.6,102400.0
5,7,1980.0,5.0,253.0,19.2,14.0,9.0,101840.0
6,7,1980.0,7.0,136.0,22.0,17.6,14.1,101860.0
7,7,1980.0,7.0,215.0,20.2,18.2,14.8,101420.0
8,7,1980.0,5.0,222.0,19.1,13.2,9.0,101590.0
9,7,1980.0,6.0,244.0,20.7,17.8,11.3,101420.0
10,7,1980.0,3.0,295.0,21.1,14.2,8.2,102330.0
11,7,1980.0,6.0,230.0,25.5,20.4,16.8,101940.0
12,7,1980.0,5.0,223.0,20.2,19.8,15.2,101640.0
13,7,1980.0,5.0,256.0,20.1,18.6,14.6,101930.0
14,7,1980.0,5.0,221.0,24.6,20.0,12.8,101980.0
15,7,1980.0,4.0,249.0,24.1,19.8,13.2,100750.0
16,7,1980.0,6.0,241.0,23.7,19.6,14.8,101750.0
17,7,1980.0,6.0,170.0,23.6,17.8,14.0,101890.0
18,7,1980.0,2.0,311.0,25.1,21.0,13.4,102100.0
19,7,1980.0,5.0,236.0,20.1,18.2,13.5,101350.0
20,7,1980.0,5.0,254.0,24.7,18.2,15.1,101820.0
21,7,1980.0,5.0,259.0,21.0,15.0,11.1,101780.0
22,7,1980.0,4.0,308.0,23.9,17.4,10.0,101780.0
23,7,1980.0,2.0,292.0,24.1,17.6,12.6,101620.0
24,7,1980.0,5.0,257.0,22.2,16.6,13.2,101780.0
25,7,1980.0,8.0,89.0,20.6,16.0,15.1,100510.0
26,7,1980.0,7.0,95.0,22.3,16.8,13.5,101130.0
27,7,1980.0,5.0,241.0,24.6,19.8,15.2,101660.0
28,7,1980.0,5.0,263.0,23.3,,14.2,101730.0
29,7,1980.0,2.0,286.0,26.8,22.0,15.0,102030.0
30,7,1980.0,7.0,116.0,22.1,18.2,15.1,101520.0
31,7,1980.0,6.0,145.0,21.2,20.8,15.0,101790.0
1,8,1980.0,4.0,228.0,16.5,12.4,7.5,101360.0
2,8,1980.0,6.0,170.0,19.0,15.0,12.5,101700.0
3,8,1980.0,5.0,209.0,19.4,17.4,13.9,101340.0
4,8,1980.0,5.0,222.0,26.6,20.2,14.6,101900.0
5,8,1980.0,7.0,140.0,24.9,18.1,16.5,101150.0
6,8,1980.0,6.0,174.0,19.3,15.2,12.0,101790.0
7,8,1980.0,6.0,167.0,19.3,18.6,14.5,101470.0
8,8,1980.0,6.0,228.0,20.4,18.5,14.2,101000.0
9,8,1980.0,6.0,173.0,21.1,17.5,12.8,101830.0
10,8,1980.0,7.0,110.0,26.9,19.2,13.0,101600.0
11,8,1980.0,8.0,89.0,23.6,16.1,13.6,101470.0
12,8,1980.0,6.0,236.0,27.6,19.9,14.0,102020.0
13,8,1980.0,7.0,168.0,23.7,19.8,16.7,99650.0
14,8,1980.0,5.0,210.0,25.8,20.4,15.2,101900.0
15,8,1980.0,7.0,106.0,20.2,15.7,12.5,101090.0
16,8,1980.0,6.0,132.0,20.7,17.6,13.5,101740.0
17,8,1980.0,7.0,142.0,20.8,17.2,14.3,101000.0
18,8,1980.0,5.0,248.0,20.1,18.0,14.1,101440.0
19,8,1980.0,6.0,197.0,26.0,21.4,18.3,101280.0
20,8,1980.0,3.0,221.0,25.5,18.2,11.1,101740.0
21,8,1980.0,5.0,198.0,26.3,19.8,14.3,101800.0
22,8,1980.0,5.0,219.0,18.5,11.0,5.5,101900.0
23,8,1980.0,7.0,151.0,25.1,19.4,16.2,102110.0
24,8,1980.0,6.0,218.0,26.2,19.0,14.7,101740.0
25,8,1980.0,1.0,301.0,27.6,17.4,11.5,102360.0
26,8,1980.0,7.0,132.0,25.5,18.6,16.0,100990.0
27,8,1980.0,5.0,187.0,19.9,18.6,13.0,100910.0
28,8,1980.0,6.0,166.0,20.3,16.8,14.1,101740.0
29,8,1980.0,2.0,316.0,22.9,18.8,9.6,101550.0
30,8,1980.0,7.0,140.0,22.6,16.5,12.6,101720.0
31,8,1980.0,7.0,80.0,21.0,16.6,13.2,101460.0
1,9,1980.0,6.0,144.0,18.8,16.2,12.6,101570.0
2,9,1980.0,7.0,79.0,19.1,18.8,13.9,101240.0
3,9,1980.0,5.0,158.0,19.8,14.2,10.8,101640.0
4,9,1980.0,6.0,110.0,17.7,12.5,8.8,101300.0
5,9,1980.0,7.0,121.0,19.4,16.4,13.4,100350.0
6,9,1980.0,7.0,98.0,20.7,13.0,9.3,101110.0
7,9,1980.0,1.0,227.0,31.0,20.5,16.7,102100.0
8,9,1980.0,4.0,141.0,22.4,19.6,15.2,101830.0
9,9,1980.0,7.0,106.0,19.5,16.6,13.1,100160.0
10,9,1980.0,6.0,112.0,15.0,14.8,11.3,102180.0
11,9,1980.0,5.0,137.0,20.6,16.4,11.7,102600.0
12,9,1980.0,6.0,89.0,15.9,15.4,10.4,100940.0
13,9,1980.0,7.0,98.0,23.2,20.2,14.3,101570.0
14,9,1980.0,5.0,152.0,26.2,24.3,17.0,102870.0
15,9,1980.0,7.0,97.0,21.0,15.2,11.0,102820.0
16,9,1980.0,7.0,106.0,14.0,14.6,10.4,101440.0
17,9,1980.0,4.0,120.0,20.4,17.2,12.3,102560.0
18,9,1980.0,7.0,50.0,18.5,12.0,9.9,100610.0
19,9,1980.0,7.0,78.0,15.8,12.0,9.7,102230.0
20,9,1980.0,8.0,55.0,14.3,12.2,8.4,101200.0
21,9,1980.0,6.0,92.0,19.1,17.4,13.5,101340.0
22,9,1980.0,7.0,75.0,19.2,14.6,11.4,99040.0
23,9,1980.0,6.0,98.0,17.0,15.4,12.5,101900.0
24,9,1980.0,3.0,137.0,23.2,19.6,14.7,102050.0
25,9,1980.0,7.0,67.0,21.3,15.6,13.0,102120.0
26,9,1980.0,6.0,84.0,12.9,9.6,6.1,101810.0
27,9,1980.0,6.0,102.0,17.1,15.4,12.0,100540.0
28,9,1980.0,6.0,115.0,19.1,15.4,10.2,102370.0
29,9,1980.0,1.0,156.0,20.5,16.4,11.5,101030.0
30,9,1980.0,4.0,147.0,15.5,12.4,7.5,101820.0
1,10,1980.0,6.0,96.0,17.4,12.8,9.6,101720.0
2,10,1980.0,7.0,43.0,14.5,13.3,11.4,100560.0
3,10,1980.0,8.0,39.0,13.9,9.5,7.0,101390.0
4,10,1980.0,6.0,95.0,16.9,15.0,11.9,101620.0
5,10,1980.0,4.0,115.0,18.7,11.8,5.8,101330.0
6,10,1980.0,7.0,44.0,13.5,11.8,7.9,102390.0
7,10,1980.0,5.0,84.0,17.9,14.0,10.9,100800.0
8,10,1980.0,5.0,74.0,19.0,15.5,12.8,102050.0
9,10,1980.0,5.0,109.0,20.8,19.6,16.4,102010.0
10,10,1980.0,4.0,96.0,22.1,15.0,12.1,102360.0
11,10,1980.0,4.0,67.0,18.0,15.4,12.6,101470.0
12,10,1980.0,2.0,101.0,13.4,9.3,4.9,101390.0
13,10,1980.0,6.0,43.0,14.2,15.6,11.2,100630.0
14,10,1980.0,8.0,24.0,12.0,9.5,6.8,100690.0
15,10,1980.0,7.0,95.0,17.1,14.0,11.0,102510.0
16,10,1980.0,7.0,52.0,16.0,13.1,8.9,102580.0
17,10,1980.0,4.0,105.0,14.5,8.2,3.6,100550.0
18,10,1980.0,5.0,92.0,18.6,12.2,8.2,101240.0
19,10,1980.0,7.0,68.0,14.3,9.2,6.2,101560.0
20,10,1980.0,4.0,78.0,13.5,9.1,5.3,102690.0
21,10,1980.0,7.0,43.0,16.3,12.3,9.9,101420.0
22,10,1980.0,4.0,111.0,12.3,9.0,5.5,100640.0
23,10,1980.0,2.0,90.0,15.4,7.8,1.7,102320.0
24,10,1980.0,5.0,95.0,19.6,19.4,12.6,101680.0
25,10,1980.0,6.0,36.0,15.1,10.4,6.1,102250.0
26,10,1980.0,6.0,67.0,14.2,9.3,4.6,101390.0
27,10,1980.0,6.0,44.0,13.0,12.4,10.4,100440.0
28,10,1980.0,6.0,48.0,11.0,9.0,6.3,98880.0
29,10,1980.0,4.0,57.0,16.4,13.8,8.3,100770.0
30,10,1980.0,7.0,29.0,14.5,14.4,10.3,101900.0
31,10,1980.0,5.0,69.0,16.0,13.0,11.2,101710.0
1,11,1980.0,8.0,26.0,12.5,10.0,8.9,99650.0
2,11,1980.0,7.0,12.0,9.8,8.0,4.2,102600.0
3,11,1980.0,5.0,34.0,3.2,3.4,-1.7,103660.0
4,11,1980.0,7.0,20.0,13.2,11.8,9.2,101870.0
5,11,1980.0,3.0,44.0,10.1,5.2,0.7,102760.0
6,11,1980.0,7.0,19.0,16.7,11.2,10.4,101870.0
7,11,1980.0,6.0,36.0,10.8,8.8,6.3,101280.0
8,11,1980.0,7.0,22.0,11.6,11.0,9.2,100580.0
9,11,1980.0,5.0,46.0,15.0,10.9,7.0,101260.0
10,11,1980.0,3.0,59.0,10.2,5.0,1.9,100620.0
11,11,1980.0,6.0,15.0,12.6,8.2,5.7,100690.0
12,11,1980.0,4.0,36.0,2.7,5.6,1.7,101550.0
13,11,1980.0,7.0,19.0,6.5,6.2,3.9,103410.0
14,11,1980.0,5.0,63.0,12.2,11.1,8.0,101380.0
15,11,1980.0,6.0,34.0,12.4,11.6,7.5,102680.0
16,11,1980.0,4.0,67.0,14.8,11.4,5.8,101500.0
17,11,1980.0,6.0,38.0,8.8,8.4,6.5,102870.0
18,11,1980.0,5.0,42.0,7.5,5.6,-0.5,101360.0
19,11,1980.0,8.0,20.0,14.4,12.8,10.5,101340.0
20,11,1980.0,2.0,48.0,12.3,9.9,4.5,102180.0
21,11,1980.0,8.0,22.0,4.5,3.6,-2.1,103580.0
22,11,1980.0,4.0,42.0,13.5,9.0,4.9,101850.0
23,11,1980.0,8.0,17.0,10.0,11.6,9.5,102280.0
24,11,1980.0,4.0,65.0,11.7,3.4,-0.3,101270.0
25,11,1980.0,4.0,72.0,18.6,13.4,10.3,101640.0
26,11,1980.0,7.0,32.0,11.2,9.8,5.9,99630.0
27,11,1980.0,5.0,47.0,10.2,9.0,8.0,102580.0
28,11,1980.0,6.0,39.0,5.5,1.8,0.8,102230.0
29,11,1980.0,4.0,31.0,11.3,5.7,1.8,101550.0
30,11,1980.0,7.0,52.0,8.1,6.2,2.9,103560.0
1,12,1980.0,5.0,37.0,11.1,6.6,0.0,102530.0
2,12,1980.0,5.0,25.0,9.5,7.2,5.2,102520.0
3,12,1980.0,8.0,12.0,12.8,8.1,5.3,101500.0
4,12,1980.0,6.0,32.0,9.4,5.0,2.5,103890.0
5,12,1980.0,4.0,45.0,11.7,6.4,1.6,103260.0
6,12,1980.0,7.0,12.0,13.7,9.2,5.9,99810.0
7,12,1980.0,4.0,29.0,12.3,7.8,5.2,100570.0
8,12,1980.0,8.0,13.0,9.6,6.8,7.0,99330.0
9,12,1980.0,7.0,13.0,12.2,6.2,4.6,100480.0
10,12,1980.0,4.0,28.0,12.9,10.0,8.6,102390.0
11,12,1980.0,6.0,28.0,5.2,1.4,-3.5,101830.0
12,12,1980.0,8.0,12.0,4.7,1.2,-0.6,101610.0
13,12,1980.0,8.0,14.0,12.7,7.2,4.0,99460.0
14,12,1980.0,6.0,13.0,9.4,7.2,4.6,103020.0
15,12,1980.0,7.0,12.0,10.0,4.0,1.6,100140.0
16,12,1980.0,7.0,12.0,12.3,8.4,5.5,101480.0
17,12,1980.0,5.0,39.0,8.7,6.6,1.9,101120.0
18,12,1980.0,8.0,12.0,12.5,0.4,-2.5,102760.0
19,12,1980.0,4.0,48.0,6.6,3.6,0.7,102250.0
20,12,1980.0,1.0,29.0,4.6,1.0,-3.5,102450.0
21,12,1980.0,8.0,12.0,7.9,4.2,2.7,102720.0
22,12,1980.0,7.0,13.0,4.5,7.0,5.5,102640.0
23,12,1980.0,8.0,17.0,5.8,5.5,5.8,103690.0
24,12,1980.0,4.0,14.0,5.4,5.0,1.3,102210.0
25,12,1980.0,7.0,13.0,8.2,3.0,-1.0,102530.0
26,12,1980.0,8.0,12.0,8.1,6.2,3.9,102080.0
27,12,1980.0,5.0,38.0,4.1,3.2,-1.8,100840.0
28,12,1980.0,6.0,12.0,10.2,4.0,-0.5,99830.0
29,12,1980.0,7.0,12.0,4.3,5.8,1.2,102900.0
30,12,1980.0,7.0,29.0,9.2,5.4,1.2,100370.0
31,12,1980.0,4.0,45.0,12.6,6.8,2.2,100570.0
1,1,1981.0,8.0,15.0,9.0,6.6,6.7,102680.0
2,1,1981.0,5.0,31.0,7.9,0.2,-2.3,102140.0
3,1,1981.0,8.0,13.0,12.5,5.6,1.7,102960.0
4,1,1981.0,5.0,56.0,7.8,6.4,2.8,98580.0
5,1,1981.0,6.0,21.0,6.2,4.5,1.7,102520.0
6,1,1981.0,4.0,53.0,8.6,0.8,-3.4,101850.0
7,1,1981.0,6.0,14.0,8.9,-0.4,-3.1,102740.0
8,1,1981.0,6.0,,4.3,0.9,-1.6,100970.0
9,1,1981.0,4.0,52.0,11.2,7.4,4.2,103870.0
10,1,1981.0,4.0,25.0,5.3,2.4,0.3,102850.0
11,1,1981.0,4.0,57.0,13.7,11.9,7.8,101300.0
12,1,1981.0,7.0,22.0,5.9,6.6,3.7,98460.0
13,1,1981.0,7.0,18.0,9.3,6.2,3.4,103420.0
14,1,1981.0,8.0,12.0,10.5,6.0,1.9,102590.0
15,1,1981.0,6.0,24.0,4.9,3.8,2.6,101240.0
16,1,1981.0,4.0,48.0,10.3,5.4,-0.4,101770.0
17,1,1981.0,3.0,50.0,6.7,3.4,-0.7,102910.0
18,1,1981.0,7.0,16.0,7.2,7.7,6.2,103080.0
19,1,1981.0,5.0,26.0,10.2,8.4,4.9,101280.0
20,1,1981.0,3.0,47.0,3.5,3.5,0.4,103500.0
21,1,1981.0,7.0,16.0,5.6,3.9,0.9,101480.0
22,1,1981.0,8.0,14.0,6.8,3.5,0.4,102000.0
23,1,1981.0,6.0,18.0,6.9,3.0,-1.0,101830.0
24,1,1981.0,6.0,17.0,3.5,1.0,-2.7,102230.0
25,1,1981.0,4.0,36.0,7.6,-1.5,-3.6,102980.0
26,1,1981.0,3.0,58.0,9.2,4.4,2.7,103770.0
27,1,1981.0,1.0,90.0,4.9,-0.7,-4.1,101910.0
28,1,1981.0,4.0,58.0,5.3,7.6,3.5,103310.0
29,1,1981.0,7.0,19.0,10.1,7.4,6.2,102250.0
30,1,1981.0,5.0,52.0,8.0,1.8,-1.6,102050.0
31,1,1981.0,3.0,46.0,12.5,9.0,6.6,101860.0
1,2,1981.0,8.0,50.0,5.1,4.6,1.3,102580.0
2,2,1981.0,7.0,25.0,2.6,2.8,-2.0,102330.0
3,2,1981.0,7.0,44.0,12.9,9.6,6.2,102040.0
4,2,1981.0,6.0,35.0,8.9,0.2,-2.2,100480.0
5,2,1981.0,3.0,104.0,5.1,4.4,1.2,100940.0
6,2,1981.0,6.0,41.0,8.8,5.9,2.2,101930.0
7,2,1981.0,7.0,32.0,7.9,7.0,5.0,100620.0
8,2,1981.0,7.0,31.0,8.6,4.6,0.7,100620.0
9,2,1981.0,6.0,53.0,6.5,3.2,1.5,101980.0
10,2,1981.0,8.0,20.0,1.8,1.4,-1.4,102800.0
11,2,1981.0,4.0,64.0,0.9,-1.2,-8.0,102330.0
12,2,1981.0,7.0,27.0,8.8,4.2,0.6,101900.0
13,2,1981.0,3.0,66.0,6.5,2.4,0.2,102040.0
14,2,1981.0,3.0,108.0,9.6,3.2,-1.0,103120.0
15,2,1981.0,7.0,40.0,4.1,5.4,3.8,102730.0
16,2,1981.0,7.0,42.0,12.0,8.0,3.3,101290.0
17,2,1981.0,7.0,36.0,7.3,6.3,2.5,102100.0
18,2,1981.0,4.0,39.0,4.9,-1.6,-3.4,102080.0
19,2,1981.0,8.0,28.0,10.9,8.6,5.6,102320.0
20,2,1981.0,4.0,98.0,9.4,6.8,2.6,102030.0
21,2,1981.0,6.0,79.0,10.1,8.3,4.5,102730.0
22,2,1981.0,7.0,24.0,5.4,4.4,0.0,102430.0
23,2,1981.0,7.0,59.0,10.6,8.6,5.9,102330.0
24,2,1981.0,4.0,79.0,11.9,5.8,1.8,102660.0
25,2,1981.0,3.0,83.0,7.9,4.8,0.4,103500.0
26,2,1981.0,6.0,32.0,11.6,6.8,2.8,100760.0
27,2,1981.0,6.0,20.0,9.1,7.2,3.9,102720.0
28,2,1981.0,7.0,46.0,7.0,1.8,-0.5,101170.0
1,3,1981.0,6.0,116.0,11.4,7.0,5.0,101790.0
2,3,1981.0,7.0,50.0,9.6,8.2,6.0,100670.0
3,3,1981.0,8.0,42.0,9.3,7.8,3.9,99720.0
4,3,1981.0,7.0,35.0,13.3,5.2,2.1,100450.0
5,3,1981.0,6.0,78.0,11.9,6.0,2.4,101330.0
6,3,1981.0,7.0,45.0,11.4,3.6,-1.6,102110.0
7,3,1981.0,7.0,121.0,8.0,6.3,3.9,101720.0
8,3,1981.0,6.0,82.0,11.6,6.6,2.3,101640.0
9,3,1981.0,1.0,124.0,11.6,5.8,1.9,97860.0
10,3,1981.0,8.0,36.0,8.7,7.0,5.7,102310.0
11,3,1981.0,7.0,47.0,14.6,6.8,0.3,102260.0
12,3,1981.0,8.0,43.0,5.7,4.2,1.2,103680.0
13,3,1981.0,8.0,35.0,8.5,6.0,3.3,101740.0
14,3,1981.0,5.0,98.0,9.7,7.9,2.8,100520.0
15,3,1981.0,6.0,61.0,10.6,7.9,3.6,98420.0
16,3,1981.0,5.0,110.0,13.1,7.4,1.6,101200.0
17,3,1981.0,6.0,64.0,12.0,9.6,6.3,101830.0
18,3,1981.0,4.0,159.0,12.3,8.3,4.5,101050.0
19,3,1981.0,4.0,150.0,10.2,7.7,0.5,100930.0
20,3,1981.0,6.0,125.0,9.6,7.0,3.7,102340.0
21,3,1981.0,7.0,90.0,11.5,10.4,8.4,102260.0
22,3,1981.0,6.0,122.0,17.5,6.2,0.0,100940.0
23,3,1981.0,5.0,152.0,11.8,6.2,1.9,100930.0
24,3,1981.0,5.0,154.0,12.3,10.2,7.2,100550.0
25,3,1981.0,7.0,58.0,10.6,8.6,7.4,100510.0
26,3,1981.0,6.0,141.0,11.1,4.2,0.7,101570.0
27,3,1981.0,7.0,116.0,13.8,8.6,3.2,101940.0
